setting,cycles,steps,expected_targets,cif_count,json_count,confidence_count,confidence_parse_errors,all_targets_have_cif,all_targets_have_confidence,error_parts_empty,exit_status,wall_seconds,internal_seconds,max_rss_gib,has_clash_count,plddt_mean,plddt_median,plddt_p05,plddt_p95,ptm_mean,ptm_median,ptm_p05,ptm_p95,gpde_mean,gpde_median,gpde_p05,gpde_p95
c1_s1,1,1,1024,1024,1024,1024,0,True,True,True,0,1539.94,1329.82,17.19222640991211,0,84.66019029542804,87.2260856628418,64.66028594970703,95.05289459228516,0.8542740908451378,0.9025338292121887,0.532197117805481,0.9651929140090942,0.6656040075467899,0.4849965274333954,0.30612456798553467,1.4739058017730713
c1_s2,1,2,1024,1024,1024,1024,0,True,True,True,0,1315.2,1260.19,17.250652313232422,0,85.23395469971001,87.62898254394531,66.9261474609375,95.1198959350586,0.8599134025571402,0.9073551595211029,0.5515854358673096,0.9668126702308655,0.616812439111527,0.462420254945755,0.29779908061027527,1.3490873575210571
c1_s5,1,5,1024,1024,1024,1024,0,True,True,True,0,1439.94,1383.04,17.20730209350586,0,86.0293501522392,88.52047348022461,67.65814971923828,95.20353698730469,0.8775435123243369,0.9243467748165131,0.5610679984092712,0.9726866483688354,0.5320024790416937,0.39180462062358856,0.2842097282409668,1.1089533567428589
c2_s1,2,1,1024,1024,1024,1024,0,True,True,True,0,1760.68,1682.59,17.212539672851562,0,86.14849673584104,88.50975036621094,68.6632308959961,95.51148223876953,0.8660802731756121,0.9117043912410736,0.5718339681625366,0.970111608505249,0.6251880588242784,0.46588170528411865,0.29694002866744995,1.3312400579452515
c2_s2,2,2,1024,1024,1024,1024,0,True,True,True,0,1784.32,1705.95,17.209918975830078,0,86.62844998762012,88.92903137207031,70.28656768798828,95.60299682617188,0.8704867507331073,0.9155642688274384,0.5705718398094177,0.970989465713501,0.5824773529893719,0.4461428076028824,0.29451557993888855,1.1605231761932373
c2_s5,2,5,1024,1024,1024,1024,0,True,True,True,0,1909.25,1848.11,17.23984146118164,0,87.33265435136855,89.6895523071289,72.35220336914062,95.70509338378906,0.8872293350723339,0.9332099854946136,0.5888171195983887,0.9761748909950256,0.5051175186235923,0.3801322728395462,0.2792314291000366,0.9958592653274536
c4_s1,4,1,1024,1024,1024,1024,0,True,True,True,0,2508.34,2430.98,17.21683120727539,0,87.07604223117232,89.19015884399414,71.89447021484375,95.52640533447266,0.8741334403166547,0.920170247554779,0.598777174949646,0.9700988531112671,0.5960860739869531,0.4499795436859131,0.30032530426979065,1.2854491472244263
c4_s2,4,2,1024,1024,1024,1024,0,True,True,True,0,2499.8,2437.33,17.21225357055664,0,87.3843839596957,89.49723815917969,73.08795166015625,95.50252532958984,0.8760796702845255,0.9210557341575623,0.5748640298843384,0.9700919985771179,0.5665449637454003,0.4369739294052124,0.29663950204849243,1.1341229677200317
c4_s5,4,5,1024,1024,1024,1024,0,True,True,True,0,2515.31,2460.02,17.198139190673828,0,88.10836087912321,90.26624298095703,75.24425506591797,95.68778228759766,0.8933582950703567,0.9355439245700836,0.6237868070602417,0.9757837057113647,0.49050706435809843,0.3726097494363785,0.28279200196266174,0.9581939578056335
